date	link_index	number	content
2016/12/11|23/54/00	58270	56	 >>17  >>46に希望されるものありますか？  こちらアゴジムシ希望します <\br>
2016/12/11|23/54/00	58270	58	 >>54  交換ありがとうございました  個体値問題ありませんでした  またよろしくお願いします <\br>
2016/12/11|23/56/00	58270	59	 >>55  了解です。潜っておくので話しかけてください。 <\br>
2016/12/11|23/56/00	58270	60	 >>56  ヒノアラシ欲しいです  交換お願いできますか？ <\br>
2016/12/11|23/58/00	58270	65	 出)記載無しは理想個体あり  ・意地夢ミニリュウ@レベル(竜舞アクジェ超音波ドラゴンダイブ)6V～あり  ・意地ガーディ(インファイト朝の日差し燃え尽きる捨て身)6V～あり  ・意地タツベイ@ダイブ(竜舞ハイドロポンプドラゴンダイブ炎の牙)or(竜舞ハイドロポンプ竜波暴れる)  ・意地ドロバンコ@ヘビボ(インファ捨て身)  ・意地テクニシャンストライク@ウルボ(真空波辻斬り)  ・意地スキルリンクシェルダー@ルアー(氷柱ロクブラ)  ・意地夢カラカラ@ウルボ(アイへ)  ・意地コソクムシ(アクジェ)4Vのみ  ・陽気夢リオル@ウルボ(バレパン真空波)  ・陽気夢フカマル@ムーン(逆鱗アイへ)※現在理想個体なし  ・陽気ミミッキュ@ゴジャボ(呪い道連れ怨念悪夢)6V～あり  ・陽気ダンバル@ウルボ  ・控えめ天恵トゲピー@ラブボ(アシパ悪巧み未来予知)6V～あり  ・控えめヒンバス@ルアー(竜波ミラコ催眠術)  ・控えめ蓄電チョンチー@ルアー(高速移動水浸しド忘れ渦潮)  ・控えめモノズ@ウルボ※現在理想個体なし  ・臆病夢イーブイ@ラブボ(呪いあくび願い事アシパ)※現在理想個体無し  ・臆病ヒノアラシ(はじける炎フレアドライブ捨て身)  ・臆病夢Aロコン@ラブボ(催眠術アンコムンフォフリドラ)  ・臆病or図太いポリゴン(両特性あり)  ・図太い夢ヒドイデ@ダイブ(たくわえる飲み込む吐き出す白い霧)  ・冷静ヨワシ@ダイブ   求)  4V=BP32、理想でない5V=BP48(こだわりスカーフ)、理想5V=BP80、6V=BP160  ガンテツボール・銀の王冠と4V(4V個体がなければ理想でない5V)、ポイントマックス１つと理想でない5V1体、マスターボールと幸せ卵はBP128換算、金の王冠はBP160換算で交換します。  高個体メタモン、性格一致UB・準伝、アローラ・リージョン色ポケ、持っていない孵化余りなど、複数交渉歓迎です！  3411-0919-8442 ふ五文字 <\br>
2016/12/12|00/00/00	58270	67	 >>60  ヒノアラシ了解しました  コード登録次第潜りますねー <\br>
2016/12/12|00/00/00	58270	70	 >>59  ありがとうございました！ <\br>
2016/12/12|00/00/00	58270	71	 >>55  交換ありがとうございました！ <\br>
2016/12/12|00/01/00	58270	73	 出)理想箇所4V or S03V  意地orうっかりやシェルダー ダクボ  (ロクブラ・つらら・アクアリング・みずのはどう)  意地ガーディ クイボ  (インファ・あさのひざし・もえつきる・捨て身)  意地カラカラ ウルボ  (アイへ・ほろび・げんし・はらだいこ)  意地ヌイコグマ ラブボ  (冷凍パン・雷パン)  意地夢サンド プレボ  意地夢キバニア ダイボ  (サイコファング・ドロポン・げんし)  最遅勇敢ミミッキュ ラブボ  (のろい・あくむ・みちづれ・おんねん)  控えめタッツー ダイボorネスト  (かなしばり)  臆病ポリゴン  臆病夢イーブイ ラブボ  (のろい・あくび・アシパ・ねがいごと)  控えめコイル  控えめヌメラ ラブボorダイボ  (こらえる・カウンター・アイアンテール)   求)  一体につき32BP  もしくは孵化余りか銀の王冠  特にフル遺伝キバゴ希望です   フレコ：4253-3631-9324 TN：う〇〇〇 <\br>
2016/12/12|00/01/00	58270	74	 >>65  BP64分出すので　4Vトゲピーとチョンチー交換いいでしょうか？  2724-3468-9783 TN:く○○○ <\br>
2016/12/12|00/01/00	58270	75	 >>67  ヒトモシ時間いただければ孵化しますが  アマカジと如何でしょうか？   後でお声掛けします   とりあえず今は潜ってヒノアラシ⇔アゴジムシお願いします <\br>
2016/12/12|00/03/00	58270	77	 書けるようになったので悲しみにくれながら再募集   出)非厳選フェローチェ(せっかちHAC、うっかりやABS、いじっぱりACS、さみしがりHCS)  　　4&#12316;5Vカラカラ(いじっぱり、勇敢・♀のみ理想個体有・ゆうかんのみC込み4V夢特性♂♀有)  　　臆病A抜け5Vゴース♀(Vズレありなら5V♂、S0など有)  　　陽気C抜け5Vミミッキュ♀、4V♂(双方みちづれ遺伝)  　　勇敢・いじっぱり・のんき4&#12316;5Vダダリン  　　慎重・腕白4&#12316;5V夢ボクレー、勇敢2&#12316;3V+S0夢ボクレー  　　臆病4Vヒトモシ、冷静4V+S0ヒトモシ  　　勇敢・冷静4V+S0ヒトツキ  　　4V夢フワンテ、臆病誘爆A抜け5Vフワンテ♂(かなしばり遺伝)  　　ずぶとい・おだやか・ひかえめ4&#12316;5Vスナバァ(すべてみちづれ、ドわすれ、蓄える遺伝。ひかえめのみ5V理想個体♂有)  　　ずぶとい・おだやか5V夢ヤミラミ(ずぶとい♀のみA抜け理想個体有・当然自己再生遺伝)  　　なんか出た陽気砂隠れフカマル6V♂♀(逆鱗遺伝)　注：非鮫肌！  　　いじっぱり4V、陽気C抜け5Vモクロー♂   With マスターボール、気合いのタスキ、突撃チョッキ、不思議なアメ、銀冠、進化の石(闇以外)、木の実など   フェローチェとフカマルのみウルトラボール、他すべてダークボール入りです  アイテムには限りありますが、ゴーストポケモンについては売るほどあるので任意の数だけご希望ください  他、アイテムについても対応できる範囲で希望あればできるだけ応じます   求)陽気カミツルギ・個体値不問(NN変更希望：ハバキリ)  　 いじっぱりカミツルギ・個体値不問(NN変更希望：ムラクモ)   よろしくお願いします <\br>
2016/12/12|00/03/00	58270	78	 >>73   タッツー＠ダイボとBPで交換希望です。   フレコ：1504-6685-2276  TN:ダ〇 <\br>
2016/12/12|00/04/00	58270	80	 >>65  銀の王冠3つとチョンチー、イーブイ、ヒノアラシの交換お願いします  3755-1473-9034 フ○○○ <\br>
2016/12/12|00/04/00	58270	83	 >>48  ベトベターまだ余ってますか？  控えめH抜けフル遺伝ロゼリア＠フレンドは如何ですか？ <\br>
2016/12/12|00/04/00	58270	84	 >>78  では王者の印でお願いします  潜っておくので申請お願いします <\br>
2016/12/12|00/05/00	58270	87	 >>75  交換ありがとうございました  ヒトモシも是非お願いしたいです  アマカジ準備してお待ちしてますね <\br>
2016/12/12|00/06/00	58270	89	 >>68  お待たせいたしました。潜ります   >>67  ありがとうございました！ ヒトモシの件一考いただければ幸いです  宜しいのでしたら後で声掛けさせていただきます <\br>
2016/12/12|00/07/00	58270	93	 >>83  まだ在庫あります！フレコお願いします！ <\br>
2016/12/12|00/08/00	58270	94	 いろいろ修正   出)非厳選フェローチェ(せっかちHAC、うっかりやABS、いじっぱりACS、さみしがりHCS)  　　4～5Vカラカラ(いじっぱり、勇敢・♀のみ理想個体有・ゆうかんのみC込み4V夢特性♂♀有)  　　臆病A抜け5Vゴース♀(Vズレありなら5V♂、S0など有)  　　陽気C抜け5Vミミッキュ♀、4V♂(双方みちづれ遺伝)  　　勇敢・いじっぱり・のんき4&#12316;5Vダダリン  　　慎重・腕白4&#12316;5V夢ボクレー、勇敢2&#12316;3V+S0夢ボクレー  　　臆病4Vヒトモシ、冷静4V+S0ヒトモシ  　　勇敢・冷静4VS0ヒトツキ  　　4V夢フワンテ、臆病誘爆A抜け5Vフワンテ♂(かなしばり遺伝)  　　ずぶとい・おだやか・ひかえめ4&#12316;5Vスナバァ(すべてみちづれ、ドわすれ、蓄える遺伝。ひかえめのみ5V理想個体♂有)  　　ずぶとい・おだやか5V夢ヤミラミ(ずぶとい♀のみA抜け理想個体有・自己再生遺伝)  　　陽気砂隠れフカマル6V♂♀(逆鱗遺伝)　注：非鮫肌！  　　いじっぱり4V、陽気C抜け5Vモクロー♂   With マスターボール、気合いのタスキ、突撃チョッキ、不思議なアメ、銀冠、進化の石(闇以外)、木の実など   フェローチェとフカマルのみウルトラボール、他すべてダークボール入りです  アイテムには限りありますが、ポケモンは複数体でも出品可能です。任意の数だけご希望ください  他、アイテムについても対応できる範囲で希望あればできるだけ応じます   求)陽気カミツルギ・個体値不問(NN変更希望：ハバキリ)  　 いじっぱりカミツルギ・個体値不問(NN変更希望：ムラクモ)   よろしくお願いします  0259-1454-7450 頭文字アの6文字 <\br>
2016/12/12|00/09/00	58270	96	 >>89  ありがとうございました！ <\br>
2016/12/12|00/10/00	58270	98	 >>84  潜りましたが見当たりません  もう居られますか <\br>
2016/12/12|00/10/00	58270	99	 >>73  ヌメラ夢特性ですか？  夢ならBPで交換してほしいです  3883-5332-9569とり◯◯ <\br>
2016/12/12|00/10/00	58270	100	 >>68  ありがとうございました！   >>87  ありがとうございます！  少々お待ちくださいませ <\br>
2016/12/12|00/11/00	58270	102	 >>98   潜りなおしてみます <\br>
2016/12/12|00/13/00	58270	106	 >>98  ありがとうございました <\br>
2016/12/12|00/13/00	58270	108	 出  ラブボフル遺伝意地4vミミッキュ  ウルボ慎重4vストライク  ウルボアイへげきりん遺伝陽気4v夢フカマル  プレボ慎重4vカラカラ  ウルボ陽気4vコイキング  ウルボ陽気理想コイキング  ウルボ慎重テクニシャン理想ハッサム  ポケルス   求  れいせいS0ヒトツキ  BP48pt ※1  BP64pt ※2   ※1 理想以外の3匹以上との交換でお願いします  ※2 理想個体一匹+理想以外1匹、または理想以外4匹以上との交換でお願いします  ヒトツキは要相談 <\br>
2016/12/12|00/14/00	58270	109	 >>102  ありがとうございました。 <\br>
2016/12/12|00/14/00	58270	113	 >>93  ありがとうございます。  1220-6335-1048  TN：頭文字　イ  です。潜ってます <\br>
2016/12/12|00/15/00	58270	115	 >>99  夢もいます王者の印でお願いします <\br>
2016/12/12|00/16/00	58270	119	 求) 臆病コケコ  意地、陽気ブルル  夢カビゴン、夢イシツブテ、夢ベトベター、夢ピチュー、夢サンドなど(その他要相談)理想個体   出)銀の王冠(準伝8つ、指定理想個体3つ、相談個体2~3つまで)  +  適当な4V~孵化あまり(無邪気タツベイ、陽気ダンバル、意地ヌイコグマ、臆病ロコン、意地ドロバンコ、意地カラカラ、図太カラナクシ、慎重ベトベター、意地ミミッキュ、控えめガーディ、無邪気ヤトウモリ)   0619-4012-4298 TN:ル○ <\br>
2016/12/12|00/17/00	58270	122	 >>108  ヒトツキ出せます  ストライク希望   2981-6272-9300  TNＢ○ <\br>
2016/12/12|00/18/00	58270	124	 >>113  交換ありがとうございました！ <\br>
2016/12/12|00/18/00	58270	125	 すみません少し離れていました…  >>74  まだいましたらゲンガナイトで交換よろしくお願いします！  >>80  まだいましたら交換よろしくお願いします！ <\br>
2016/12/12|00/19/00	58270	131	 >>124  ありがとうございましたm(_ _)m <\br>
2016/12/12|00/19/00	58270	132	 >>125  待機してますので>>74さんの後でよろしくお願いします <\br>
2016/12/12|00/20/00	58270	133	 >>125  了解しました　登録次第潜ります <\br>
2016/12/12|00/20/00	58270	137	 >>99  ありがとうございました <\br>
2016/12/12|00/21/00	58270	139	 >>137  ありがとうございました！ <\br>
2016/12/12|00/22/00	58270	142	 >>122  4vの方でよろしいですか？ <\br>
2016/12/12|00/22/00	58270	143	 >>142  夢でお願いします <\br>
2016/12/12|00/23/00	58270	146	 >>142  すいません  間違えました   四Vで <\br>
2016/12/12|00/25/00	58270	156	 >>125  交換ありがとうございました！ <\br>
2016/12/12|00/25/00	58270	157	 >>142  理想だとこちらも理想ですかね？ <\br>
2016/12/12|00/25/00	58270	158	 >>133  遅くなってすみませんでした！交換ありがとうございました！ <\br>
2016/12/12|00/26/00	58270	160	 >>146  了解しました  登録したら潜ります <\br>
2016/12/12|00/26/00	58270	161	 出）陽気ダンバル@ウルトラ  陽気ミミッキュ@ゴージャス  いじムックル@レベル  陽気フカマル@ウルトラ  慎重毒手ベトベター@ネスト  臆病夢ロコン@ダイブ  いじサイホーン@ウルトラ  フル遺伝陽気リオル@ゴージャス  いじコソクムシ@ネット@クイック  陽気ニューラ@ムーン  いじカラカラ@ムーン  冷静ヒトツキ@ダーク  控えめモノズ@スーパー@ウルトラ  臆病モノズ@ウルトラ  臆病ゴース@ムーン  いじマリル@ルアー  陽気タツベイ@ウルトラ  以上理想個体   求）BP32 孵化余り 勇敢タツベイ うっかりやシェルダー等 ヤドキングニョロトノの図鑑登録  5386-7287-6044 TNす〇 <\br>
2016/12/12|00/26/00	58270	163	 >>157  そうなりますね <\br>
2016/12/12|00/26/00	58270	165	 >>119  まだおられますか  意地夢サンドの理想だせるのですが <\br>
2016/12/12|00/27/00	58270	168	 >>163  では４Vで <\br>
2016/12/12|00/28/00	58270	170	 >>165  いますよ、孵化あまりの希望3体ありますか？ <\br>
2016/12/12|00/28/00	58270	172	 >>160  フレコが見当たらないのですが…… <\br>
2016/12/12|00/28/00	58270	173	 >>125  交換ありがとうございました！ <\br>
2016/12/12|00/29/00	58270	174	 >>132  遅くなってすみませんでした！交換ありがとうございました！ <\br>
2016/12/12|00/29/00	58270	175	 >>161  陽気タツベイお願いします　BP32出せます <\br>
2016/12/12|00/29/00	58270	176	 >>172  すみません  3110-6662-7348 TN n○○○  です <\br>
2016/12/12|00/30/00	58270	178	 >>170  銀王冠2つとヤトウモリでお願いしたいです   4940-6304-5294 フ○○ <\br>
2016/12/12|00/30/00	58270	179	 >>175  遺伝竜舞のみですが宜しいですか？  よろしければアップグレードお願いします。 <\br>
2016/12/12|00/32/00	58270	184	 >>176  申し込みます <\br>
2016/12/12|00/32/00	58270	185	 >>179  おｋです   4296-4091-3189　あ○○ <\br>
2016/12/12|00/32/00	58270	187	 >>178  そうでは無く銀の王冠３つを孵化あまり３体に持たせて交換のつもりでしたが、それで良いならちょっと良いヤトウモリ♂♀渡します！ <\br>
2016/12/12|00/34/00	58270	191	 >>187  王冠3+孵化余り3は貰い過ぎな感じがあるのでこれでいいですー  ♂♀いただけるのなら嬉しいです <\br>
2016/12/12|00/35/00	58270	193	 >>176  ありがとうございました！ <\br>
2016/12/12|00/36/00	58270	194	 >>193  ありがとうございました <\br>
2016/12/12|00/36/00	58270	196	 >>185  交換ありがとうございました！ <\br>
2016/12/12|00/37/00	58270	199	 >>179  ありがとうございました！！ <\br>
2016/12/12|00/38/00	58270	201	 出  ラブボフル遺伝意地4vミミッキュ  ウルボ慎重テクニシャン4vストライク  ウルボアイへげきりん遺伝陽気4v夢フカマル  プレボ慎重避雷針4vカラカラ  ウルボ陽気4vコイキング  ウルボ陽気理想コイキング  ウルボ慎重テクニシャン理想ハッサム  ポケルス   求  BP48pt ※1  BP64pt ※2   ※1 理想以外の3匹以上との交換でお願いします  ※2 理想個体一匹+理想以外1匹、または理想以外4匹以上との交換でお願いします  3110-6662-7348 TN n○○○ <\br>
2016/12/12|00/39/00	58270	202	 >>187  予想以上に良個体で恐縮です。。。  交換ありがとうございました～ <\br>
2016/12/12|00/40/00	58270	206	 >>201  64BP出せます  理想ハッサムと4Vコイキング希望です  2895-7620-4745  TN:わ◯◯◯◯ <\br>
2016/12/12|00/40/00	58270	207	 >>202  めざ氷♀厳選で沢山いるので大丈夫ですよ、、  ありがとうございました！ <\br>
2016/12/12|00/41/00	58270	210	 出）フカマル/ガルーラ/ゴース/ストライク/ミミッキュ/コイキング/タツベイ/ウリムー/ダンバル/ヒトツキ/ポリゴン/シェルダー/ロコン/銀の王冠/ポイントアップ/飴  孵化余りのボール性格特性遺伝技は聞いてください   求）赤緑だいだい紫いずれかの染物屋5   0533-5977-3947 <\br>
